unique_key,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,year
13172384,JG378607,2023-08-11 14:35:00.000000 UTC,001XX N MICHIGAN AVE,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,true,false,111,1,34,32,08B,41.883643552,-87.624419496,2023
13276137,JG502918,2023-11-13 13:15:00.000000 UTC,001XX N WABASH AVE,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,34,32,08B,41.885433199,-87.626265286,2023
12984870,JG155021,2023-02-16 16:10:00.000000 UTC,001XX N WABASH AVE,BATTERY,SIMPLE,RESTAURANT,false,false,111,1,42,32,08B,41.885301485,-87.626266739,2023
13099278,JG291695,2023-06-07 11:32:00.000000 UTC,001XX N STATE ST,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",CTA PLATFORM,true,false,111,1,42,32,04B,41.885481891,-87.627935689,2023
13053188,JG236699,2023-04-25 11:18:00.000000 UTC,0000X E LAKE ST,ASSAULT,SIMPLE,STREET,false,false,111,1,42,32,08A,41.885753285,-87.626996239,2023
13183628,JG392185,2023-08-21 17:50:00.000000 UTC,001XX N WABASH AVE,ASSAULT,SIMPLE,RESTAURANT,false,false,111,1,42,32,08A,41.885301485,-87.626266739,2023
13263055,JG487308,2023-09-18 12:00:00.000000 UTC,001XX N STATE ST,THEFT,OVER $500,OTHER (SPECIFY),false,false,111,1,42,32,06,41.884650262,-87.627915459,2023
13317280,JG552533,2023-12-23 18:14:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13010448,JG185654,2023-03-14 17:06:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,111,1,42,32,06,41.883500187,-87.627876698,2023
13012317,JG188246,2023-03-16 18:42:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,false,false,111,1,42,32,06,41.883500187,-87.627876698,2023
13048712,JG230960,2023-03-24 10:25:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,111,1,42,32,06,41.883500187,-87.627876698,2023
13062810,JG248363,2023-05-02 13:23:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,111,1,34,32,06,41.883475491,-87.627876969,2023
13081390,JG271005,2023-05-22 19:08:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13102569,JG295848,2023-06-10 15:31:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13117140,JG312181,2023-06-19 19:15:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13117339,JG313336,2023-06-23 18:44:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13153940,JG356810,2023-07-26 12:25:00.000000 UTC,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,111,1,34,32,06,41.883500187,-87.627876698,2023
13283751,JG511132,2023-11-19 14:30:00.000000 UTC,0000X W WASHINGTON ST,THEFT,POCKET-PICKING,OTHER (SPECIFY),false,false,111,1,42,32,06,41.883210775,-87.629906972,2023
13100695,JG293150,2023-05-30 17:15:00.000000 UTC,0000X E WACKER PL,THEFT,FROM BUILDING,HOTEL / MOTEL,false,false,111,1,42,32,06,41.886813267,-87.625328278,2023
13121360,JG318150,2023-06-27 12:53:00.000000 UTC,001XX N WABASH AVE,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,true,false,111,1,42,32,14,41.885367342,-87.626266013,2023
13010787,JG186133,2023-03-14 11:30:00.000000 UTC,0000X N WABASH AVE,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,112,1,42,32,03,41.882529537,-87.626223856,2023
13037369,JG217327,2023-04-10 08:03:00.000000 UTC,001XX S STATE ST,BATTERY,SIMPLE,BANK,false,false,112,1,42,32,08B,41.880579428,-87.627732563,2023
13233905,JG452228,2023-10-02 15:00:00.000000 UTC,0000X N WABASH AVE,THEFT,OVER $500,STREET,false,false,112,1,34,32,06,41.882422496,-87.626221364,2023
13277217,JG504335,2023-11-14 18:00:00.000000 UTC,001XX S CLARK ST,THEFT,$500 AND UNDER,RESTAURANT,false,false,112,1,34,32,06,41.879890416,-87.630832031,2023
13239273,JG457629,2023-10-03 12:27:00.000000 UTC,0000X N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,34,32,06,41.882394062,-87.627844798,2023
13280868,JG508436,2023-11-17 18:30:00.000000 UTC,0000X W MONROE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,112,1,34,32,06,41.880704482,-87.630224558,2023
13310901,JG544452,2023-12-14 17:08:00.000000 UTC,0000X N STATE ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,112,1,34,32,06,41.882394062,-87.627844798,2023
12967402,JG133782,2023-01-29 12:40:00.000000 UTC,0000X N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,42,32,06,41.882539542,-87.627850543,2023
13076198,JG263732,2023-05-13 08:40:00.000000 UTC,0000X S STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,34,32,06,41.88171846,-87.627760426,2023
13102354,JG295421,2023-06-10 09:14:00.000000 UTC,001XX S MICHIGAN AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,34,32,06,41.880366516,-87.6243529,2023
13102359,JG294228,2023-06-09 11:19:00.000000 UTC,001XX S MICHIGAN AVE,THEFT,RETAIL THEFT,DRUG STORE,false,false,112,1,34,32,06,41.880366516,-87.6243529,2023
13106076,JG300021,2023-06-13 20:15:00.000000 UTC,0000X S STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,34,32,06,41.88171846,-87.627760426,2023
13125800,JG322800,2023-06-30 18:34:00.000000 UTC,0000X N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,112,1,34,32,06,41.882470918,-87.627847625,2023
